model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,n_probe_params,test_loss,test_loss_ci_hi,test_loss_ci_lo,test_loss_delta_ci_hi,test_loss_delta_ci_lo,test_loss_delta_vs_last,test_loss_point,test_mae,test_mae_ci_hi,test_mae_ci_lo,test_mae_delta_ci_hi,test_mae_delta_ci_lo,test_mae_delta_vs_last,test_mae_point,test_mase,test_mase_ci_hi,test_mase_ci_lo,test_mase_delta_ci_hi,test_mase_delta_ci_lo,test_mase_delta_vs_last,test_mase_point,test_wql,test_wql_ci_hi,test_wql_ci_lo,test_wql_delta_ci_hi,test_wql_delta_ci_lo,test_wql_delta_vs_last,test_wql_point,train_loss,val_loss,wd_at_grid_max,wd_at_grid_min,weight_decay
chronos2,m4_hourly,M4,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,110736,0.26699543613513915,0.27179992846177736,0.26247001649200463,-0.14662144688022047,-0.15930759854444113,-0.15301396313855664,0.26699543613513915,874.6110879550343,1230.8031974253727,562.8119975582747,-333.5581247908846,-749.0776113968277,-529.1175441613397,874.6110879550343,9.898665403954967,11.733947237343394,8.25565316087692,-4.828210507496407,-7.070241846302927,-5.870724169896244,9.898665403954967,1.1631263214601963,1.2554825320799794,1.1058859978781777,-0.5841342927259475,-0.6845057205223446,-0.62757083580057,1.1631263214601963,0.25564915209025185,0.30412575574094103,True,False,3.0
chronos2,m4_hourly,M4,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,110736,0.19756452773363536,0.20533409896839894,0.19033174846420875,-0.07782110482141488,-0.08957778657324443,-0.08358305473705285,0.19756452773363536,636.248836540324,895.8908824871352,412.8639854549468,-186.8020695002415,-409.35332816212474,-290.75529274662927,636.248836540324,5.8123028332341296,6.858284944281692,4.900800731870473,-1.404413087464352,-2.2602406178840773,-1.7843615991754067,5.8123028332341296,0.941907822246326,1.0375822544123054,0.8791018962356352,-0.37406694186594774,-0.4511701043368446,-0.40635233658669967,0.941907822246326,0.16281721079281106,0.2226796775828791,False,False,0.1
chronos2,m4_hourly,M4,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,110736,0.12256940134324645,0.12994754604945485,0.11544489313720349,-0.003631484761606647,-0.01375342858208784,-0.008587928346663942,0.12256940134324645,401.4252715011128,577.7127209273144,251.19400986450708,-19.484817844350797,-99.17179854767613,-55.93172770741808,401.4252715011128,2.8794923164250346,3.2490420429996703,2.5485138622703034,1.4729545795624612,0.8451074081344979,1.1484489176336883,2.8794923164250346,0.6122797639798939,0.6836740675533898,0.5528092682064126,-0.028651830535614473,-0.11557184194143591,-0.07672427832026762,0.6122797639798939,0.09606005619393616,0.12371622075731972,False,False,0.01
chronos2,m4_hourly,M4,3,L3,block,block_depth,True,3,0.25,0.25,True,False,False,110736,0.10989426478800428,0.11719414154636383,0.1029799047079051,0.008198610167836646,4.631473028762942e-05,0.004087208208578233,0.10989426478800428,442.33210212046185,651.3096104169484,264.9355464101848,-31.192936023123675,-176.7756965318163,-96.83855832676716,442.33210212046185,2.7862569535161645,3.181979284646757,2.428321645730157,1.5429358922347358,0.9604785020138216,1.2416842805425583,2.7862569535161645,0.6828437290366843,0.7513788507201314,0.6058032520298186,-0.06397072084999517,-0.2070633035193512,-0.14728824337705804,0.6828437290366843,0.08086808181636389,0.10196871101458109,False,False,1.0
chronos2,m4_hourly,M4,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,110736,0.11091930168958111,0.11787082181802687,0.10419629221064046,0.006534338185833842,-0.0005356054834822335,0.003062171307001399,0.11091930168958111,442.90359510734163,649.1826957695496,264.654098325635,-33.37256559671981,-175.63551210094428,-97.41005131364693,442.90359510734163,3.0480531405297877,3.4731753557061236,2.662276040580374,1.2412399499785245,0.7365282050783541,0.9798880935289351,3.0480531405297877,0.6654054092699582,0.7303296912672294,0.5931643248367632,-0.04913649301153283,-0.18731349559183455,-0.12984992361033187,0.6654054092699582,0.08209695803319536,0.10319176651821792,False,False,1.0
chronos2,m4_hourly,M4,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,110736,0.11050207551767807,0.1166443269902428,0.10455368069419993,0.005825373981119565,0.0009931467484170905,0.003479397478904439,0.11050207551767807,390.46274822198995,562.0621003193766,242.06065767971094,-11.09288319666923,-85.84056507282428,-44.96920442829526,390.46274822198995,3.547778870696138,4.116830631929759,3.0323421672003956,0.6041614517114093,0.35576798677972005,0.4801623633625849,3.547778870696138,0.5863147768275878,0.6432212824172902,0.5361221310853408,-0.004072415924048115,-0.08337964137329072,-0.05075929116796152,0.5863147768275878,0.0883643872945047,0.10582561060103751,True,False,3.0
chronos2,m4_hourly,M4,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,110736,0.11268895793393369,0.11882233020017734,0.1068537028659249,0.003589622291402163,-0.0012606411742202806,0.0012925150626488247,0.11268895793393369,376.40902135461494,535.5679197075301,238.14825153743752,-6.579938617310047,-58.89126938493061,-30.915477560920237,376.40902135461494,3.3641996433014714,3.8952523874468308,2.8862859307509803,0.8287337301376216,0.5008917032645716,0.6637415907572515,3.3641996433014714,0.5797354354547053,0.636749081778253,0.5370958037418402,-0.011780507853088323,-0.06782609031064621,-0.044179949795079,0.5797354354547053,0.08923027067948962,0.10597727794683616,True,False,3.0
chronos2,m4_hourly,M4,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,110736,0.11519893605745475,0.12133615149810682,0.10948822176197671,0.0010721200295077014,-0.0038131266775477076,-0.0012174630608722398,0.11519893605745475,381.0818110074762,547.8693698259107,236.11249170736556,-6.151502690775947,-70.67810025527139,-35.58826721378148,381.0818110074762,3.4599938822202003,4.0165892425116665,2.956084902053697,0.7029621559115473,0.4356155544422998,0.5679473518385225,3.4599938822202003,0.5887586175862063,0.6474982967358456,0.5413151089158074,-0.013610504898114136,-0.08152119475202345,-0.053203131926579994,0.5887586175862063,0.09259648431343703,0.10911106244298338,True,False,3.0
chronos2,m4_hourly,M4,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,110736,0.11122627397074954,0.11773028817767177,0.10511257475213581,0.004998762538045189,0.00019360800693167714,0.0027551990258329745,0.11122627397074954,364.17698926752604,519.2106291316787,229.8638208629729,0.5752735252306529,-40.202542534612085,-18.68344547383134,364.17698926752604,3.4974332261423093,4.050264192569273,2.994191834421423,0.6611826378000887,0.40322373753137164,0.5305080079164135,3.4974332261423093,0.5613028484620074,0.6256745263138909,0.5138726300369328,0.0017107435852101447,-0.04514406133418773,-0.025747362802381102,0.5613028484620074,0.08665310627001857,0.10326130924220303,True,False,3.0
chronos2,m4_hourly,M4,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,110736,0.11653690688482678,0.122807963617601,0.11068053341307144,-0.0006125455181903544,-0.0048304459698612036,-0.0025554338882442656,0.11653690688482678,359.6620801914818,508.5797587330305,228.7543838206921,-1.241872614044503,-28.376183784392648,-14.16853639778708,359.6620801914818,3.456314274758526,4.018651626680278,2.9475037527449954,0.6987679575815977,0.4430505428091765,0.5716269593001968,3.456314274758526,0.5595615281157976,0.6308992009695915,0.5099284119050386,-0.01000157741286381,-0.03632070540805734,-0.024006042456171328,0.5595615281157976,0.09464507986667166,0.10915667321959524,True,False,3.0
