condition,metric,target,stage,layer,drift_1_minus_cka,probe_change
domain,d_fslot_quantile_loss,Electricity,early,Emb,3.7791125007125004e-08,0.0021888415018711527
domain,d_fslot_quantile_loss,Electricity,early,L1,0.00030806980654796146,0.017550547917684067
domain,d_fslot_quantile_loss,Electricity,early,L2,0.0004235736715501037,0.006298700968424775
domain,d_fslot_quantile_loss,Electricity,early,L3,0.0002907368509579289,-0.003213802973429214
domain,d_fslot_quantile_loss,Electricity,early,L4,0.00030815283105978253,-0.0035452842712402344
domain,d_fslot_quantile_loss,Electricity,early,L5,0.0003117966402649275,0.009458303451538086
domain,d_fslot_quantile_loss,Electricity,early,L6,0.0005186735190062519,-0.014992237091064453
domain,d_fslot_quantile_loss,Electricity,early,L7,0.000490548105066102,-0.011312564214070342
domain,d_fslot_quantile_loss,Electricity,early,L8,0.0009490163158372145,-0.00753021240234375
domain,d_fslot_quantile_loss,Electricity,early,L9,0.0024489388856309136,0.003191709518432617
domain,d_fslot_quantile_loss,Electricity,early,L10,0.002321951898242691,-0.009411970774332534
domain,d_fslot_quantile_loss,Electricity,early,L11,0.0024209993108904593,-0.04988280932108591
domain,d_fslot_quantile_loss,Electricity,early,L12,0.005991849884663281,-0.020296732584635713
domain,d_fslot_quantile_loss,Electricity,early,L12+LN,0.0013529475808374825,-0.020289262135823716
domain,d_fslot_quantile_loss,Electricity,late,Emb,5.9092903126334306e-08,0.0019501050313310841
domain,d_fslot_quantile_loss,Electricity,late,L1,0.0007139724340800013,0.02649100621541356
domain,d_fslot_quantile_loss,Electricity,late,L2,0.0009554536903845223,0.015171925226847627
domain,d_fslot_quantile_loss,Electricity,late,L3,0.0006818259107185254,-0.019568681716918945
domain,d_fslot_quantile_loss,Electricity,late,L4,0.0006336412548597625,-0.013074159622192383
domain,d_fslot_quantile_loss,Electricity,late,L5,0.0006661997659009877,-0.0027324358622231593
domain,d_fslot_quantile_loss,Electricity,late,L6,0.0011054986070918593,0.002740303675333511
domain,d_fslot_quantile_loss,Electricity,late,L7,0.0009028193855897815,-0.007218996683756362
domain,d_fslot_quantile_loss,Electricity,late,L8,0.00159915814780065,-0.004820426305135239
domain,d_fslot_quantile_loss,Electricity,late,L9,0.0029894384375379612,-0.0024512608846030126
domain,d_fslot_quantile_loss,Electricity,late,L10,0.0029609915197582604,-0.0199432373046875
domain,d_fslot_quantile_loss,Electricity,late,L11,0.004024479790923907,-0.041462341944376924
domain,d_fslot_quantile_loss,Electricity,late,L12,0.011399828044022176,0.01195216178894043
domain,d_fslot_quantile_loss,Electricity,late,L12+LN,0.002280034349511184,-0.02636615435282419
domain,d_fslot_quantile_loss,Uber,early,Emb,3.7791125007125004e-08,-0.0020780563354492188
domain,d_fslot_quantile_loss,Uber,early,L1,0.0003613315807460271,0.01152308781941791
domain,d_fslot_quantile_loss,Uber,early,L2,0.00036315742673820317,-0.010029633839925722
domain,d_fslot_quantile_loss,Uber,early,L3,0.0002868504996540455,-0.0059258143107099315
